Date,close_real,real,proba_sobe,pred,acerto
2024-06-07,5331.330078125,1,0.429,0,0
2024-06-10,5331.52001953125,1,0.6018,1,1
2024-06-11,5327.25,1,0.7613,1,1
2024-06-12,5409.1298828125,1,0.6591,1,1
2024-06-13,5402.509765625,0,0.3103,0,1
2024-06-14,5403.75,1,0.6326,1,1
2024-06-17,5420.39990234375,0,0.4544,0,1
2024-06-18,5471.31982421875,0,0.6534,1,0
2024-06-20,5455.56005859375,0,0.6014,1,0
2024-06-21,5452.02978515625,1,0.2843,0,0
2024-06-24,5447.58984375,1,0.6232,1,1
2024-06-25,5446.56005859375,0,0.7082,1,0
2024-06-26,5451.8701171875,0,0.6902,1,0
2024-06-27,5467.5400390625,0,0.6559,1,0
2024-06-28,5451.1201171875,1,0.8064,1,1
2024-07-01,5446.52978515625,1,0.5915,1,1
2024-07-02,5458.43017578125,1,0.6083,1,1
2024-07-03,5507.419921875,1,0.6684,1,1
2024-07-05,5531.6298828125,0,0.5513,1,0
2024-07-08,5562.509765625,1,0.4223,0,0
2024-07-09,5574.56982421875,0,0.5696,1,0
2024-07-10,5586.43994140625,1,0.6445,1,1
2024-07-11,5576.52978515625,0,0.4622,0,1
2024-07-12,5590.43994140625,1,0.5256,1,1
2024-07-15,5614.75,1,0.6543,1,1
2024-07-16,5639.02001953125,1,0.5054,1,1
2024-07-17,5584.81005859375,0,0.5705,1,0
2024-07-18,5522.81005859375,0,0.435,0,1
2024-07-19,5497.0400390625,0,0.756,1,0
2024-07-22,5529.0400390625,0,0.4053,0,1
2024-07-23,5550.89990234375,1,0.6541,1,1
2024-07-24,5419.97998046875,1,0.6553,1,1
2024-07-25,5390.9501953125,0,0.6242,1,0
2024-07-26,5430.7001953125,0,0.4671,0,1
2024-07-29,5444.43994140625,1,0.6481,1,1
2024-07-30,5401.7001953125,1,0.6549,1,1
2024-07-31,5493.75,1,0.4887,0,0
2024-08-01,5410.419921875,1,0.5496,1,1
2024-08-02,5302.02978515625,1,0.516,1,1
2024-08-05,5119.259765625,1,0.4747,0,0
2024-08-06,5193.56005859375,0,0.5625,1,0
2024-08-07,5195.5400390625,1,0.3867,0,0
2024-08-08,5233.85009765625,1,0.4316,0,0
2024-08-09,5300.83984375,1,0.4687,0,0
2024-08-12,5324.3701171875,0,0.674,1,0
2024-08-13,5376.97998046875,0,0.5788,1,0
2024-08-14,5415.91015625,0,0.509,1,0
2024-08-15,5501.1298828125,1,0.5354,1,1
2024-08-16,5525.169921875,1,0.7341,1,1
2024-08-19,5550.740234375,0,0.6053,1,0
2024-08-20,5585.5,0,0.4554,0,1
2024-08-21,5591.56982421875,1,0.3573,0,0
2024-08-22,5560.9501953125,1,0.5902,1,1
2024-08-23,5585.16015625,0,0.5533,1,0
2024-08-26,5602.33984375,1,0.4735,0,0
2024-08-27,5593.47998046875,0,0.7575,1,0
2024-08-28,5560.9501953125,0,0.2535,0,1
2024-08-29,5583.7099609375,0,0.5672,1,0
2024-08-30,5581.7900390625,1,0.5925,1,1
2024-09-03,5504.330078125,1,0.354,0,0
2024-09-04,5503.66015625,1,0.2773,0,0
2024-09-05,5480.5400390625,1,0.5605,1,1
2024-09-06,5402.6201171875,1,0.7009,1,1
2024-09-09,5434.490234375,1,0.6228,1,1
2024-09-10,5441.72021484375,1,0.7435,1,1
2024-09-11,5406.9599609375,1,0.72,1,1
2024-09-12,5535.5,1,0.7205,1,1
2024-09-13,5601.64990234375,1,0.6067,1,1
2024-09-16,5604.52978515625,1,0.6959,1,1
2024-09-17,5614.0498046875,1,0.418,0,0
2024-09-18,5615.080078125,0,0.7051,1,0
2024-09-19,5686.419921875,1,0.2434,0,0
2024-09-20,5674.490234375,1,0.7139,1,1
2024-09-23,5704.22021484375,0,0.4236,0,1
2024-09-24,5698.990234375,0,0.7362,1,0
2024-09-25,5712.06005859375,1,0.4949,0,0
2024-09-26,5721.009765625,0,0.3714,0,1
2024-09-27,5727.33984375,0,0.8396,1,0
2024-09-30,5703.52978515625,0,0.2374,0,1
2024-10-01,5681.27978515625,0,0.5702,1,0
2024-10-02,5674.0,0,0.5363,1,0
2024-10-03,5677.3701171875,1,0.2344,0,0
2024-10-04,5702.830078125,1,0.6744,1,1
2024-10-07,5686.85009765625,0,0.7737,1,0
2024-10-08,5714.56005859375,1,0.7294,1,1
2024-10-09,5745.02001953125,1,0.7712,1,1
2024-10-10,5764.759765625,1,0.6041,1,1
2024-10-11,5775.08984375,1,0.5969,1,1
2024-10-14,5829.56982421875,1,0.4087,0,0
2024-10-15,5804.47998046875,1,0.3003,0,0
2024-10-16,5808.33984375,0,0.5304,1,0
2024-10-17,5840.25,1,0.7188,1,1
2024-10-18,5846.10986328125,0,0.5574,1,0
2024-10-21,5824.7900390625,1,0.5974,1,1
2024-10-22,5821.169921875,1,0.532,1,1
2024-10-23,5762.41015625,1,0.5249,1,1
2024-10-24,5784.919921875,0,0.5116,1,0
2024-10-25,5799.97998046875,0,0.7495,1,0
2024-10-28,5823.080078125,0,0.4018,0,1
2024-10-29,5802.169921875,1,0.6857,1,1
2024-10-30,5811.27978515625,1,0.5756,1,1
2024-10-31,5702.85986328125,0,0.7358,1,0
2024-11-01,5723.22021484375,1,0.3572,0,0
2024-11-04,5696.509765625,1,0.6761,1,1
2024-11-05,5722.10009765625,1,0.6528,1,1
2024-11-06,5864.89013671875,1,0.4909,0,0
2024-11-07,5947.2099609375,1,0.5476,1,1
2024-11-08,5976.759765625,0,0.5139,1,0
2024-11-11,5986.68994140625,1,0.3804,0,0
2024-11-12,5960.080078125,1,0.5956,1,1
2024-11-13,5965.91015625,1,0.437,0,0
2024-11-14,5942.27978515625,0,0.6082,1,0
2024-11-15,5853.009765625,0,0.6226,1,0
2024-11-18,5865.9501953125,0,0.6358,1,0
2024-11-19,5855.2900390625,1,0.5995,1,1
2024-11-20,5860.56005859375,1,0.6918,1,1
2024-11-21,5887.259765625,1,0.4108,0,0
2024-11-22,5944.35986328125,0,0.6456,1,0
2024-11-25,5963.91015625,1,0.6976,1,1
2024-11-26,5992.27001953125,0,0.4963,0,1
2024-11-27,5984.8701171875,1,0.4443,0,0
2024-11-29,6003.97998046875,0,0.4154,0,1
2024-12-02,6035.330078125,1,0.5612,1,1
2024-12-03,6033.39013671875,1,0.7303,1,1
2024-12-04,6061.06005859375,1,0.8165,1,1
2024-12-05,6072.89990234375,1,0.5609,1,1
2024-12-06,6079.97998046875,1,0.4719,0,0
2024-12-09,6048.6298828125,0,0.5042,1,0
2024-12-10,6029.89013671875,1,0.5045,1,1
2024-12-11,6060.14990234375,0,0.5879,1,0
2024-12-12,6051.25,0,0.5395,1,0
2024-12-13,6035.77001953125,1,0.6141,1,1
2024-12-16,6059.14013671875,0,0.6925,1,0
2024-12-17,6035.18994140625,1,0.7359,1,1
2024-12-18,5867.7900390625,1,0.7202,1,1
2024-12-19,5866.06982421875,1,0.6876,1,1
2024-12-20,5832.2998046875,1,0.7292,1,1
2024-12-23,5902.56982421875,1,0.4276,0,0
2024-12-24,5981.43994140625,0,0.5686,1,0
2024-12-26,6007.3701171875,1,0.3849,0,0
2024-12-27,5932.9501953125,1,0.4756,0,0
2024-12-30,5869.16015625,0,0.6633,1,0
